link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Senior-Associate-IT-Quality-Assurance-SAP-Hybris-Ecommerce-Testing-Klaus-IT-Solutions-Pvt-Ltd-Chennai-4-to-7-years-220318900534?src=jobsearchDesk&sid=15217229125272&xp=1&px=1,Senior Associate - IT Quality Assurance - SAP Hybris Ecommerce Testing,Senior Associate - IT Quality Assurance - SAP Hybris Ecommerce Testing,Klaus IT Solutions Pvt Ltd,Chennai,4-7 yrs,Automation Testing- Selenium- SOAP UI- Exploratory Testing- Test Cases...,Required Skill Set  - SAP Hybris eCommerce Testing - At least 1 or 2 Projects  - Agile ...,Not disclosed,2018-03-22,4,7,0,0
https://www.naukri.com/job-listings-IT-Technology-Consultant-Process-Analyst-SAP-India-Pvt-Ltd-Gurgaon-5-to-10-years-220318900367?src=jobsearchDesk&sid=15217229125272&xp=2&px=1,IT Technology Consultant- Process Analyst,IT Technology Consultant- Process Analyst,SAP India Pvt.Ltd,Gurgaon,5-10 yrs,SAP- Project management- ERP- Automation- Workflow- Service...,Requisition ID: 180074  Work Area: Information Technology  Expected Travel: 0 -  10%  Career ...,Not disclosed,2018-03-22,5,10,0,0
https://www.naukri.com/job-listings-IT-Technology-Consultant-Technical-Writer-SAP-India-Pvt-Ltd-Bengaluru-5-to-10-years-220318900364?src=jobsearchDesk&sid=15217229125272&xp=3&px=1,IT Technology Consultant- Technical Writer,IT Technology Consultant- Technical Writer,SAP India Pvt.Ltd,Bengaluru,5-10 yrs,SAP- ERP- Agile- Service- Technical writing- Information technology...,Requisition ID: 180069  Work Area: Information Technology  Expected Travel: 0 -  10%  Career ...,Not disclosed,2018-03-22,5,10,0,0
https://www.naukri.com/job-listings-Unix-IT-Support-Engineer-Baxter-India-Pvt-Ltd-Bengaluru-Whitefield-5-to-8-years-220318006158?src=jobsearchDesk&sid=15217229125272&xp=4&px=1,Unix IT Support Engineer,Unix IT Support Engineer,Baxter India Pvt. Ltd.,Bengaluru(Whitefield),5-8 yrs,linux server- solaris- zfs- networking- unix- technical support- it support...,Baxter international is looking for a UNIX IT support individual.   -	Strong writing and oral ...,Not disclosed,2018-03-22,5,8,0,0
https://www.naukri.com/job-listings-IT-Faculty-Assistant-Professor-Associate-Professor-ICFAI-University-Jharkhand-Ranchi-5-to-10-years-220318004993?src=jobsearchDesk&sid=15217229125272&xp=5&px=1,IT Faculty - Assistant Professor / Associate Professor,IT Faculty - Assistant Professor / Associate Professor,ICFAI University Jharkhand,Ranchi,5-10 yrs,Computer Teaching- Artificial Intelligence- Data Mining- Big Data Analytics..., Job Description:  Teaching - Evaluation and Mentoring the   students  * Teaching ...,Not disclosed,2018-03-22,5,10,0,0
https://www.naukri.com/job-listings-Technical-Recruiter-US-IT-Staffing-night-Shift-Noida-FCS-Software-Solutions-Limited-Noida-Sector-57-Noida-1-to-3-years-060318005736?src=jobsearchDesk&sid=15217229125272&xp=6&px=1,Technical Recruiter US IT Staffing (night Shift)- Noida,Technical Recruiter US IT Staffing (night Shift)- Noida,FCS Software Solutions Limited,Noida(Sector-57 Noida),1-3 yrs,IT Recruitment- Technical Recruitment- US Staffing- Screening...,Dear Candidate-    Greetings-     FCS Software Solutions ...,250000 - 600000 P.A. incentives(3 types ) + meals +...,2018-03-22,1,3,250000,600000
https://www.naukri.com/job-listings-Business-Development-Manager-IT-People-Hire-Consulting-Bengaluru-2-to-7-years-220318002837?src=jobsearchDesk&sid=15217229125272&xp=7&px=1,Business Development Manager - IT,Business Development Manager - IT,People Hire Consulting,Bengaluru,2-7 yrs,Business Development Management- Software Sales- Bdm- New Business- B2B..., Job Description  :  The BDM will work directly with the CEO- founder and other senior ...,Not disclosed,2018-03-22,2,7,0,0
https://www.naukri.com/job-listings-Windows-IT-Support-Engineer-Baxter-India-Pvt-Ltd-Bengaluru-Whitefield-5-to-8-years-220318006014?src=jobsearchDesk&sid=15217229125272&xp=8&px=1,Windows IT Support Engineer,Windows IT Support Engineer,Baxter India Pvt. Ltd.,Bengaluru(Whitefield),5-8 yrs,vmware infrastructure- windows server- citrix server- esx server- Nutanix...,Baxter international is looking for a Windows IT support individual.   -	Strong writing and oral ...,Not disclosed,2018-03-22,5,8,0,0
https://www.naukri.com/job-listings-Content-Writer-IT-Software-NSEZ-Noida-ProProfs-com-Delhi-NCR-Noida-1-to-3-years-010817000909?src=jobsearchDesk&sid=15217229125272&xp=9&px=1,Content Writer  - IT / Software -  NSEZ  Noida,Content Writer  - IT / Software -  NSEZ  Noida,ProProfs.com,Delhi NCR- Noida,1-3 yrs,content writer-  content writing-  articles-  blogs-  proof reading...,Job Description:  We are looking for a strong web content writer to work on ProProfs.com and ...,Not disclosed,2018-03-22,1,3,0,0
https://www.naukri.com/job-listings-Backend-Process-Mumbai-Fresher-Graduates-No-Be-Btech-OR-BSC-IT-Trigent-Software-Limited-Mumbai-0-to-0-years-220318001244?src=jobsearchDesk&sid=15217229125272&xp=10&px=1,Backend Process - Mumbai - Fresher Graduates (No Be Btech OR BSC IT),Backend Process - Mumbai - Fresher Graduates (No Be Btech OR BSC IT),Trigent Software Limited,Mumbai,0-0 yrs,Non Voice- Backend- BPO,Greetings for Trigent Software We have openings with MNC for Backend Process.  Experience: ...,100000 - 200000 P.A.,2018-03-22,0,0,100000,200000
https://www.naukri.com/job-listings-Head-POS-System-Sales-IT-Firm-Vrinda-Global-Private-Limited-Noida-10-to-15-years-220318006187?src=jobsearchDesk&sid=15217229125272&xp=11&px=1,Head - POS System Sales - IT Firm,Head - POS System Sales - IT Firm,Vrinda Global Private Limited,Noida,10-15 yrs,business development- sales- client servicing- business solutions...,Hiring for a leading provider of web based solutions diversified group into four different divisions ...,Not disclosed,2018-03-22,10,15,0,0
https://www.naukri.com/job-listings-Walk-In-Drive-with-CMS-IT-Services-Mahape-on-24th-March-CMS-IT-SERVICES-PRIVATE-LIMITED-Mumbai-Mumbai-Suburbs-Navi-Mumbai-0-to-2-years-220318005929?src=jobsearchDesk&sid=15217229125272&xp=12&px=1,Walk In Drive with CMS IT Services @ Mahape on 24th March,Walk In Drive with CMS IT Services @ Mahape on 24th March,CMS IT SERVICES PRIVATE LIMITED,Mumbai- Mumbai Suburbs- Navi Mumbai,0-2 yrs,Networking- Technical Support- Product Support- Desktop Support..., As one of Indias top IT services firms- CMS IT services has support infrastructure spread across 30 ...,50000 - 200000 P.A.,2018-03-22,0,2,50000,200000
https://www.naukri.com/job-listings-IT-Sales-Professional-Pioneer-e-solutions-P-Ltd-Delhi-2-to-4-years-220318900424?src=jobsearchDesk&sid=15217229125272&xp=13&px=1,IT Sales Professional,IT Sales Professional,Pioneer-e-solutions (P) Ltd.,Delhi,2-4 yrs,IT Sales- New Business- IT Staffing- Spoken English- IT Skills- Sales,IT Sales: Minimum experienced required:- 2 to 4 yrs   Current Location:- Delhi ...,Not disclosed,2018-03-22,2,4,0,0
https://www.naukri.com/job-listings-IT-Recruiter-Pioneer-e-solutions-P-Ltd-Delhi-0-to-5-years-220318900422?src=jobsearchDesk&sid=15217229125272&xp=14&px=1,IT Recruiter,IT Recruiter,Pioneer-e-solutions (P) Ltd.,Delhi,0-5 yrs,IT Recruitment- Screening- Sourcing Profiles- Interviewing- Linkedin...,IT Recruiter: Minimum experienced required:- 0.6 Month to 3 Years   Current Location:- Delhi ...,Not disclosed,2018-03-22,0,5,0,0
https://www.naukri.com/job-listings-Associate-Consultant-m-e-it-NACO-Contractual-role-NISG-National-Institute-For-Smart-Governent-Delhi-3-to-8-years-220318005585?src=jobsearchDesk&sid=15217229125272&xp=15&px=1,Associate Consultant (m&e;/it) NACO Contractual role,Associate Consultant (m&e;/it) NACO Contractual role,NISG ( National Institute For Smart Governent),Delhi,3-8 yrs,M&E;- IT- Health Program- HIV / AIDS- Managing- Implementation- IT Projects,Nature of Experience:  Minimum 3 years experience in managing / implementing IT projects & ...,Not disclosed,2018-03-22,3,8,0,0
https://www.naukri.com/job-listings-Immediate-Hiring-for-US-IT-in-Hyderabad-Location-Spectraforce-Technologies-India-Pvt-Ltd-Hyderabad-1-to-6-years-220318004355?src=jobsearchDesk&sid=15217229125272&xp=16&px=1,Immediate Hiring for "US IT Recruiters" in Hyderabad Location,Immediate Hiring for "US IT Recruiters" in Hyderabad Location,Spectraforce Technologies (India) Pvt. Ltd.,Hyderabad,1-6 yrs,Recruitment- Process Training- Inbound- Outbound- Recognition- Benefits..., LOOKING FOR  Experienced US IT Recruiters/Sr. Recruiters in Hyderabad!  Job ...,Not disclosed,2018-03-22,1,6,0,0
https://www.naukri.com/job-listings-CES-IT-Sr-java-java-Lead-Scheduled-Walk-in-on-24-mar-18-Saturda-CES-Ltd-Hyderabad-Gachibowli-6-to-11-years-220318004002?src=jobsearchDesk&sid=15217229125272&xp=17&px=1,CES IT - Sr.java /java Lead - Scheduled Walk-in on 24-mar-18 Saturda,CES IT - Sr.java /java Lead - Scheduled Walk-in on 24-mar-18 Saturda,CES Ltd.,Hyderabad(Gachibowli),6-11 yrs,HTML- Javascript- CSS- Play Framework- Grunt- MySQL- JPA- Spring- Java...,CES IT - We are conducting a (Scheduled Face-Face/Scheduled Walk-in) Interview on 24th March 2018 ...,Not disclosed,2018-03-22,6,11,0,0
https://www.naukri.com/job-listings-Amiga-Informatics-Hiring-For-IT-Recruiter-non-IT-Recruiter-bench-Sales-Amiga-Informatics-Pvt-Ltd-Noida-1-to-4-years-220318003647?src=jobsearchDesk&sid=15217229125272&xp=18&px=1,Amiga Informatics Hiring For IT Recruiter/non IT Recruiter/bench Sales,Amiga Informatics Hiring For IT Recruiter/non IT Recruiter/bench Sales,Amiga Informatics Pvt. Ltd,Noida,1-4 yrs,Non IT Recruitment- US Staffing- Screening- Sourcing- Night Shift...,#Should have1 to 4 years in to US Staffing(IT/Non IT) #Applicant should possess good communication ...,225000 - 500000 P.A.,2018-03-22,1,4,225000,500000
https://www.naukri.com/job-listings-Amiga-Informatics-Hiring-for-IT-Recruiter-senior-IT-Recruiter-Amiga-Informatics-Pvt-Ltd-Noida-1-to-4-years-220318003347?src=jobsearchDesk&sid=15217229125272&xp=19&px=1,Amiga Informatics Hiring for IT Recruiter/senior IT Recruiter,Amiga Informatics Hiring for IT Recruiter/senior IT Recruiter,Amiga Informatics Pvt. Ltd,Noida,1-4 yrs,Technical Recruitment- IT Recruitment- Screening- Sourcing- Interviewing...,#Candidates should have 1 to 4 years of experience into Technical Recruitment. #Understanding the ...,175000 - 375000 P.A.,2018-03-22,1,4,175000,375000
https://www.naukri.com/job-listings-Manager-Engagement-IT-Startup-People-Hire-Consulting-Bengaluru-2-to-5-years-220318002831?src=jobsearchDesk&sid=15217229125272&xp=20&px=1,Manager - Engagement - IT Startup,Manager - Engagement - IT Startup,People Hire Consulting,Bengaluru,2-5 yrs,C++- Java- Python- Project Delivery- Meteor- Client Engagement..., Job Description    The EM will work directly with the founder and other senior leaders ...,Not disclosed,2018-03-22,2,5,0,0
https://www.naukri.com/job-listings-Manager-Product-Marketing-IT-People-Hire-Consulting-Gurgaon-2-to-7-years-220318002823?src=jobsearchDesk&sid=15217229125272&xp=21&px=1,Manager - Product Marketing - IT,Manager - Product Marketing - IT,People Hire Consulting,Gurgaon,2-7 yrs,Product Marketing- Sales Management- Product Management..., What You Will Be Doing -    - Identify market opportunities- articulate competitive ...,Not disclosed,2018-03-22,2,7,0,0
https://www.naukri.com/job-listings-Global-Talent-Acquisition-Head-India-US-IT-RGF-Select-India-Gurgaon-Gurugram-12-to-15-years-220318002306?src=jobsearchDesk&sid=15217229125272&xp=22&px=1,Global Talent Acquisition Head - India & US - IT,Global Talent Acquisition Head - India & US - IT,RGF Select India,Gurgaon- Gurugram,12-15 yrs,Talent Acquisition Head- HR- recruitment- talent acquisition...,Required Global Talent Acquisition Head (India & US) from IT Services Industry background ...,Not disclosed,2018-03-22,12,15,0,0
https://www.naukri.com/job-listings-Business-Analyst-Content-Specialist-with-Innovative-IT-Company-DOCTILY-Hyderabad-1-to-2-years-220318000742?src=jobsearchDesk&sid=15217229125272&xp=23&px=1,Business Analyst/ Content Specialist with Innovative IT Company,Business Analyst/ Content Specialist with Innovative IT Company,DOCTILY,Hyderabad,1-2 yrs,medical- business analysis- communication skills- Content Writing...,  Business Analyst/Content Specialist with 1+ years experience of developing science/business ...,100000 - 125000 P.A.,2018-03-22,1,2,100000,125000
