uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
230,https://www.naukri.com/job-listings-Head-HR-plant-Aspire-Consulting-Group-Pune-Khopoli-17-to-23-years-020617007970?src=jobsearchDesk&sid=1496502120746&xp=31,Head HR (plant),Head HR (plant),Aspire Consulting Group,Pune(Khopoli),17-23 yrs,HR- Employee Engagement- Employee Relations- Compensation..., ,2250000 - 2750000 P.A. Skills Required :17 to 23yea...,1
231,https://www.naukri.com/job-listings-Presales-Executive-for-Hr-Product-Fresh-MBA-A5E-Consulting-Pvt-Ltd-Mumbai-0-to-1-years-020617007907?src=jobsearchDesk&sid=1496502120746&xp=32,Presales Executive for Hr Product / Fresh MBA,Presales Executive for Hr Product / Fresh MBA,A5E Consulting Pvt. Ltd.,Mumbai,0-1 yrs,HR- Product Development- Presentation Skills- HRMS, ,100000 - 250000 P.A.,1
232,https://www.naukri.com/job-listings-HR-Recruiter-urgent-Openings-ISEO-SYSTEMS-PVT-LTD-Chennai-0-to-2-years-020617007796?src=jobsearchDesk&sid=1496502120746&xp=33,HR Recruiter (urgent Openings),HR Recruiter (urgent Openings),ISEO SYSTEMS PVT. LTD.,Chennai,0-2 yrs,"HR Recruiter "" ; Non - IT"" ; - Non It", ,50000 - 200000 P.A. 15 - 20 % Hike from Current CTC,1
233,https://www.naukri.com/job-listings-Executive-HR-at-Powai-male-Source-IT-Mumbai-Powai-2-to-5-years-020617006979?src=jobsearchDesk&sid=1496502120746&xp=34,Executive HR at Powai (male),Executive HR at Powai (male),Source IT,Mumbai(Powai),2-5 yrs,Data Management- Recruitment- training and development- Compliances..., ,300000 - 400000 P.A.,1
234,https://www.naukri.com/job-listings-HR-Executive-Employee-Relations-grievance-Handling-MNC-Andheri-Ea-Creative-Indians-Mumbai-Suburbs-Mumbai-1-to-4-years-020617006429?src=jobsearchDesk&sid=1496502120746&xp=35,HR Executive - Employee   Relations/grievance Handling MNC  Andheri Ea,HR Executive - Employee   Relations/grievance Handling MNC  Andheri Ea,Creative Indians,Mumbai Suburbs- Mumbai,1-4 yrs,Employee Relations- Grievance Handling- business partner- HR Partner..., ,Not disclosed,1
235,https://www.naukri.com/job-listings-Divisional-Head-HR-plant-HR-IR-Personnel-mumbai-Pune-Goa-wada-Fortune-10-Advance-Search-Pvt-Ltd-Mumbai-Pune-Thane-15-to-25-years-020617005969?src=jobsearchDesk&sid=1496502120746&xp=36,Divisional Head HR (plant HR / IR Personnel ) -mumbai Pune Goawada,Divisional Head HR (plant HR / IR Personnel ) -mumbai Pune Goawada,Fortune 10 Advance Job Search Pvt. Ltd,Mumbai- Pune- Thane,15-25 yrs,HR- IR- Personnel- HR PERSONNEL- IR PERSONNEL- Labour law- UNION HANDLING..., ,1500000 - 3000000 P.A.,1
236,https://www.naukri.com/job-listings-Vice-President-Corporate-HR-Male-Corporate-Destination-Delhi-NCR-20-to-25-years-020617005934?src=jobsearchDesk&sid=1496502120746&xp=37,Vice President Corporate HR - Male,Vice President Corporate HR - Male,Corporate Destination,Delhi NCR,20-25 yrs,HR Processes- Corporate HR- Policies- Corporate Governance- Head HR..., ,5000000 - 7000000 P.A.,1
237,https://www.naukri.com/job-listings-HR-Generalist-Payroll-Executive-D-Square-Technologies-Bengaluru-Coimbatore-Kochi-0-to-5-years-020617005833?src=jobsearchDesk&sid=1496502120746&xp=38,HR Generalist / Payroll / Executive,HR Generalist / Payroll / Executive,D Square Technologies,Bengaluru- Coimbatore- Kochi,0-5 yrs,HR Generalist Activities- Recruitment- Leave Management- Induction..., ,250000 - 375000 P.A. Best in the Industry,1
238,https://www.naukri.com/job-listings-Senior-Manager-Corporate-HR-Capcon-Consultants-Pvt-Ltd-Pune-12-to-18-years-020617005042?src=jobsearchDesk&sid=1496502120746&xp=39,Senior Manager - Corporate HR,Senior Manager - Corporate HR,Capcon Consultants Pvt Ltd,Pune,12-18 yrs,Corporate HR- Talent Acquisition- HRIS- PMS, ,Not disclosed,1
239,https://www.naukri.com/job-listings-Management-Trainee-Human-Resources-N-Solutions-Lucknow-0-to-1-years-020617004116?src=jobsearchDesk&sid=1496502120746&xp=40,Management Trainee Human Resources,Management Trainee Human Resources,N Solutions,Lucknow,0-1 yrs,Recruitment- HR- Campus Hiring- campus recruitment..., ,80000 - 150000 P.A. Best in Industry,1
240,https://www.naukri.com/job-listings-Immediate-Requirement-for-MBA-HR-Executive-in-Coimbatore-Skyline-Medical-Coding-Coimbatore-0-to-1-years-020617003625?src=jobsearchDesk&sid=1496502120746&xp=41,Immediate Requirement for MBA HR Executive in Coimbatore,Immediate Requirement for MBA HR Executive in Coimbatore,Skyline Medical Coding,Coimbatore,0-1 yrs,hr- mba- mba interns- mba fresher interns- mba hr interns..., ,70000 - 175000 P.A.,1
241,https://www.naukri.com/job-listings-HR-Executive-For-South-Mumbai-Export-Oriented-Group-Naresh-Bhatia-Mumbai-Fort-3-to-5-years-020617003436?src=jobsearchDesk&sid=1496502120746&xp=42,HR Executive For South Mumbai Export Oriented Group.,HR Executive For South Mumbai Export Oriented Group.,Naresh Bhatia,Mumbai(Fort),3-5 yrs,HR- Mba- pgdm- recruitment- graduate- human resource- Naukri- timesjobs..., ,100000 - 300000 P.A.,1
242,https://www.naukri.com/job-listings-Hiring-HR-Professionals-for-Corporate-Firm-ctc-4-5-LPA-Jaro-Institute-of-Technology-Management-andResearch-Private-Limited-Mumbai-Mumbai-Suburbs-Navi-Mumbai-0-to-3-years-020617003400?src=jobsearchDesk&sid=1496502120746&xp=43,Hiring HR Professionals for Corporate Firm (ctc- 4.5 LPA),Hiring HR Professionals for Corporate Firm (ctc- 4.5 LPA),Jaro Institute of Technology Management andResearch Private Limited,Mumbai- Mumbai Suburbs- Navi Mumbai,0-3 yrs,Recruitment- Hiring- HR- Conducting Interviews- Sourcing- Non It- staffing-..., Designation: Recruitment Executive - (Management Trainee)     Job ...,125000 - 450000 P.A.,1
243,https://www.naukri.com/job-listings-Opportunity-for-HR-Recruiter-Position-for-Freshers-Tritium-Bengaluru-0-to-2-years-020617002143?src=jobsearchDesk&sid=1496502120746&xp=44,Opportunity for HR Recruiter Position for Freshers,Opportunity for HR Recruiter Position for Freshers,Tritium,Bengaluru,0-2 yrs,Recruitment- Screening- Head Hunting- Salary Negotiation- Sourcing- HR...,* Primarily sourcing the candidates through various sources by Mapping- Head hunting and Reference ...,Not disclosed,1
244,https://www.naukri.com/job-listings-Corporate-Opportunity-for-HR-Professionals-CTC-Upto-4-56-LPA-Jaro-Institute-of-Technology-Management-andResearch-Private-Limited-Mumbai-0-to-3-years-020617001259?src=jobsearchDesk&sid=1496502120746&xp=45,Corporate Opportunity for HR Professionals !! (CTC - Upto 4.56 LPA),Corporate Opportunity for HR Professionals !! (CTC - Upto 4.56 LPA),Jaro Institute of Technology Management andResearch Private Limited,Mumbai,0-3 yrs,recruitment executive- talent acquisition executive- hr consultant...,Designation: Recruitment Executive  - (Management Trainee)  Eligibility:  MBA / PGDM  Human ...,100000 - 450000 P.A.,1
245,https://www.naukri.com/job-listings-HR-Manager-Recruitment-Manager-Maruti-Solutions-Private-Limited-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-All-Indiaopenings-7-to-12-years-020617001162?src=jobsearchDesk&sid=1496502120746&xp=46,HR Manager/ Recruitment Manager,HR Manager/ Recruitment Manager,Maruti Solutions Private Limited,Delhi NCR- Mumbai- Bengaluru- Chennai- Hyderabad- Pune- Kolkata- Ahmedabad- All Indiaopenings,7-12 yrs,Recruitment Specialist- hr- human resource- hr executive- ir- Recruitment..., ,650000 - 1500000 P.A. Best In The Industrysick pe...,1
246,https://www.naukri.com/job-listings-HR-Executive-Recruitment-Executive-Fresher-s-Also-Apply-Maruti-Solutions-Private-Limited-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-All-Indiaopenings-0-to-5-years-020617001145?src=jobsearchDesk&sid=1496502120746&xp=47,HR Executive / Recruitment Executive - Fresher's Also Apply,HR Executive / Recruitment Executive - Fresher's Also Apply,Maruti Solutions Private Limited,Delhi NCR- Mumbai- Bengaluru- Chennai- Hyderabad- Pune- Kolkata- Ahmedabad- All Indiaopenings,0-5 yrs,Recruitment Specialist- hr- human resource- hr executive- ir- Recruitment..., ,275000 - 775000 P.A. Best In The Industrysick per...,1
247,https://www.naukri.com/job-listings-Hiring-HR-Executive-Sr-HR-Executive-Generalist-male-Female-Megara-InfoTech-Pvt-Ltd-Delhi-NCR-Gurgaon-Pune-Kolkata-Chandigarh-Haridwar-0-to-3-years-020617000730?src=jobsearchDesk&sid=1496502120746&xp=48,Hiring HR Executive / Sr. HR Executive - Generalist (male / Female ),Hiring HR Executive / Sr. HR Executive - Generalist (male / Female ),Megara InfoTech Pvt. Ltd.,Delhi NCR- Gurgaon- Pune- Kolkata- Chandigarh- Haridwar,0-3 yrs,HR Generalist Activities- Payroll- Gratuity- PF- Labour Laws- ESI- SAP HR..., ,225000 - 375000 P.A.,1
248,https://www.naukri.com/job-listings-HR-Executive-Admin-Executive-Trainee-Fresher-0-YRS-Experience-Career-Factory-Delhi-NCR-Greater-Noida-Noida-0-to-5-years-020616001911?src=jobsearchDesk&sid=1496502120746&xp=49,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,Career Factory,Delhi NCR- Greater Noida- Noida,0-5 yrs,HR- Recruitment- PMS- Grievance Handling- Payroll- General Administration..., ,Not disclosed,1
249,https://www.naukri.com/job-listings-Looking-for-Fresher-hr-Recruiter-bangalore-Location-Sixsigma-Softsolutions-Private-Limited-Bengaluru-0-to-0-years-250517003993?src=jobsearchDesk&sid=1496502120746&xp=50,Looking for Fresher--hr Recruiter--bangalore Location,Looking for Fresher--hr Recruiter--bangalore Location,Sixsigma Softsolutions Private Limited,Bengaluru,0-0 yrs,fresher- Graduate- Trainee- Call Center- BPO- BPO fresher- MBA Freshe..., ,150000 - 175000 P.A.,1
