uID,link, desig, details, org, loc, exp, keyskills, descl, salary 
87,https://www.naukri.com/job-listings-Fly-High-as-Airhostess-with-one-of-the-Leading-Airline-Intellecta-Consultants-Bengaluru-Chennai-Hyderabad-0-to-5-years-270814001401?src=jobsearchDesk&sid=14955537023174&xp=37,Fly High as Airhostess -  with one of the Leading Airline,Fly High as Airhostess -  with one of the Leading Airline,Intellecta Consultants,Bengaluru Chennai Hyderabad,0-5 yrs,Fresher BPO flight attendant cabin crew airhostess cabin attendent...,,300000 - 800000 P.A. Plus other Flying Allowances
88,https://www.naukri.com/job-listings-Air-Hostess-Cabin-Crew-female-contact-9870255891-South-India-Ad-Astra-Consultants-Private-Limited-Bengaluru-Chennai-Hyderabad-Kochi-Kannur-0-to-5-years-270317003788?src=jobsearchDesk&sid=14955537023174&xp=38,Air Hostess/ Cabin Crew [female] -contact - 9870255891- South India,Air Hostess/ Cabin Crew [female] -contact - 9870255891- South India,Ad Astra Consultants Private Limited.,Bengaluru Chennai Hyderabad Kochi Kannur,0-5 yrs,Cabin Crew Activities Air Hostess Activities Airlines airways aviation...,  Only for  FEMALE.   Must have good command over English  No scars ...,50000 - 300000 P.A.
89,https://www.naukri.com/job-listings-Hiring-Cabin-Crew-females-for-Leading-Domestic-Airlines-Intellecta-Consultants-Gangtok-Jamshedpur-Ranchi-0-to-5-years-220115001548?src=jobsearchDesk&sid=14955537023174&xp=39,Hiring Cabin Crew (females) for Leading Domestic Airlines,Hiring Cabin Crew (females) for Leading Domestic Airlines,Intellecta Consultants,Gangtok Jamshedpur Ranchi,0-5 yrs,Fresher BPO flight attendant cabin crew airhostess cabin attendent...,,300000 - 800000 P.A. Plus other Flying Allowances
90,https://www.naukri.com/job-listings-Hiring-Freshers-Ground-Staff-Airlines-Company-HR-India-Solutions-Chennai-0-to-0-years-170517001156?src=jobsearchDesk&sid=14955537023174&xp=40,Hiring Freshers || Ground Staff || Airlines Company,Hiring Freshers || Ground Staff || Airlines Company,HR India Solutions,Chennai,0-0 yrs,fresher Aviation Airport Airlines,Dear Candidate    We are Hiring Freshers For Ground Staff with leading Airlines ...,150000 - 250000 P.A.
91,https://www.naukri.com/job-listings-Ground-Staff-Renowned-Airlines-Chennai-HR-India-Solutions-Chennai-0-to-0-years-150517002843?src=jobsearchDesk&sid=14955537023174&xp=41,Ground Staff || Renowned Airlines || Chennai,Ground Staff || Renowned Airlines || Chennai,HR India Solutions,Chennai,0-0 yrs,Airlines Ground Staff Activities Travel aviation guest relation, Hiring for Ground Staff with Renowned Airlines.  Location : Chennai Salary : 15K - 17K ...,50000 - 200000 P.A. best in the industry
92,https://www.naukri.com/job-listings-Accountant-and-Ticketing-Staff-MAHAKALI-MAA-TRAVELS-Thane-2-to-3-years-270417004316?src=jobsearchDesk&sid=14955537023174&xp=42,Accountant and Ticketing Staff,Accountant and Ticketing Staff,MAHAKALI MAA TRAVELS,Thane,2-3 yrs,Communication Flight Ticketing Travel Writing Skills accountant...,We Are Hiring Urgent Basis Ticketing Staff And Accountant      Candidate should ...,175000 - 200000 P.A.
93,https://www.naukri.com/job-listings-Front-Office-guest-Relation-Executive-for-5-Star-Property-HR-Escalations-Jaisalmer-4-to-8-years-180517007527?src=jobsearchDesk&sid=14955537023174&xp=43,Front Office/guest Relation Executive for 5 Star Property,Front Office/guest Relation Executive for 5 Star Property,HR Escalations,Jaisalmer,4-8 yrs,Office Administration Office Coordination Front Office...,,300000 - 500000 P.A. In addition to Salary Food & ...
94,https://www.naukri.com/job-listings-Assistant-Manager-Operations-Top-Hospitality-Brand-Hubli-Smart-Source-Hubli-1-to-6-years-170517003821?src=jobsearchDesk&sid=14955537023174&xp=44,Assistant Manager - Operations -Top Hospitality Brand - Hubli,Assistant Manager - Operations -Top Hospitality Brand - Hubli,Smart Source,Hubli,1-6 yrs,mcdonalds QSR starbucks domino dominos pizza cafe coffee Bar Hotel...,   Interacts with ...,300000 - 400000 P.A. Best in the industry
95,https://www.naukri.com/job-listings-Hiring-For-Cabin-Crews-Sr-Cabin-Crew-airhostess-ABC-Consultants-Pvt-Ltd-Delhi-NCR-Bengaluru-0-to-5-years-290417000027?src=jobsearchDesk&sid=14955537023174&xp=45,Hiring For Cabin Crews/ Sr Cabin Crew (airhostess),Hiring For Cabin Crews/ Sr Cabin Crew (airhostess),ABC Consultants Pvt Ltd,Delhi NCR Bengaluru,0-5 yrs,Cabin Crew Activities air hostess airline aviation fresher bpo model...,    Greetings!!  India's Leading airline is hiring for Cabin Crews/ Sr Cabin ...,Not disclosed
96,https://www.naukri.com/job-listings-Permanent-Way-Expert-Aecom-Pvt-Ltd-Sangrur-3-to-7-years-180417901174?src=jobsearchDesk&sid=14955537023174&xp=46,Permanent Way Expert,Permanent Way Expert,Aecom Pvt Ltd,Sangrur,3-7 yrs,Engineering Design Layout Aviation Civil engineering Recruitment...,Requisition/ Vacancy No. 156694BR    Position Title Permanent Way Expert    Job Category ...,Not disclosed
97,https://www.naukri.com/job-listings-Civil-Expert-Aecom-Pvt-Ltd-Bellary-1-to-3-years-180417901173?src=jobsearchDesk&sid=14955537023174&xp=47,Civil Expert,Civil Expert,Aecom Pvt Ltd,Bellary,1-3 yrs,Engineering Design Bearings Aviation Civil engineering Irrigation...,Requisition/ Vacancy No. 156584BR    Position Title Civil Expert    Job Category ...,Not disclosed
98,https://www.naukri.com/job-listings-S-T-Expert-Aecom-Pvt-Ltd-Bellary-3-to-6-years-180417901169?src=jobsearchDesk&sid=14955537023174&xp=48,S&T; Expert,S&T; Expert,Aecom Pvt Ltd,Bellary,3-6 yrs,Project management Engineering Design Signalling Railways Metro...,Requisition/ Vacancy No. 156583BR    Position Title S&amp;T Expert    Job Category ...,Not disclosed
99,https://www.naukri.com/job-listings-Air-Hostess-Cabin-Crew-Openings-only-for-Females-Intellecta-Consultants-Aizawl-Dimapur-Gangtok-0-to-5-years-170117005110?src=jobsearchDesk&sid=14955537023174&xp=49,Air Hostess / Cabin Crew Openings only for Females,Air Hostess / Cabin Crew Openings only for Females,Intellecta Consultants,Aizawl Dimapur Gangtok,0-5 yrs,Inflight Manager Ground Staff Stewardess Customer Service...,,300000 - 700000 P.A. Plus other Flying Allowances
100,https://www.naukri.com/job-listings-Manager-Muthoot-Travel-Online-Muthoot-Fincorp-Ltd-Trivandrum-5-to-7-years-130517000499?src=jobsearchDesk&sid=14955537023174&xp=50,Manager- Muthoot Travel Online,Manager- Muthoot Travel Online,Muthoot Fincorp Ltd,Trivandrum,5-7 yrs,Travel Tourism Airlines aviation hotels ticketing,To lead and grow the Vertical to the next level.Strategize and Promote various Travel/Tourism ...,Not disclosed
