link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-IT-Recruiter-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-1-to-4-years-200318007636?src=jobsearchDesk&sid=15217230657314&xp=1&px=16,IT Recruiter,IT Recruiter,Technosoft Global Services Pvt Ltd,Bengaluru,1-4 yrs,IT Recruitment- Screening- Contract Staffing- Telephonic- Sourcing- HR...,-Contract Staffing Experience is mandatory. -Preliminary screening/short-listing the right ...,Not disclosed,2018-03-20,1,4,0,0
https://www.naukri.com/job-listings-Walk-in-for-Freshers-US-IT-Recruitment-Ionidea-Ionidea-Interactive-Private-Limited-Bengaluru-Whitefield-0-to-0-years-280617008008?src=jobsearchDesk&sid=15217230657314&xp=2&px=16,Walk in for Freshers - Recruiters (US IT Recruitment) Ionidea.,Walk in for Freshers - Recruiters (US IT Recruitment) Ionidea.,Ionidea Interactive Private Limited,Bengaluru(Whitefield),0-0 yrs,excellent communication- strong communication- strong english - recruiting-...,   An Exciting new future is waiting!  Are you ready to grab it?  Job Title: ...,225000 P.A.,2018-03-19,0,0,225000,0
https://www.naukri.com/job-listings-IT-Sales-Executive-Era-IT-Solution-Gurgaon-Noida-1-to-2-years-160318007382?src=jobsearchDesk&sid=15217230657314&xp=3&px=16,IT Sales Executive,IT Sales Executive,Era IT Solution,Gurgaon- Noida,1-2 yrs,Sales Executive Activities- IT Sales- it hardware sales- it software sales, ,250000 - 300000 P.A. Salary is not a constraint for...,2018-03-16,1,2,250000,300000
https://www.naukri.com/job-listings-HR-Manager-IT-Recruitments-ORBIT-IT-HR-Solutions-Ahmedabad-Gandhinagar-Surat-0-to-5-years-150318003082?src=jobsearchDesk&sid=15217230657314&xp=4&px=16,HR Manager - IT Recruitments,HR Manager - IT Recruitments,ORBIT IT HR Solutions,Ahmedabad- Gandhinagar- Surat,0-5 yrs,recruitment- hr- it recruitment- technical recruitment- technical hiring..., ,Not disclosed,2018-03-15,0,5,0,0
https://www.naukri.com/job-listings-Architect-IT-Business-Architecture-Delhi-NCR-Gurgaon-8-to-12-years-310717006729?src=jobsearchDesk&sid=15217230657314&xp=5&px=16,Architect - IT Business Architecture,Architect - IT Business Architecture,Premium,Delhi NCR- Gurgaon,8-12 yrs,Business Case- Architect- business architecture,- 7 yrs IT business architecture exp. Should have either insurance or financial industry exp. ...,Not disclosed,2018-03-19,8,12,0,0
https://www.naukri.com/job-listings-Onsite-IT-Sourcing-Specialist-Client-Facing-Bengaluru-ABC-Consultants-Pvt-Ltd-Bengaluru-Marathahalli-2-to-4-years-290118003473?src=jobsearchDesk&sid=15217230657314&xp=6&px=16,Onsite IT Sourcing Specialist | Client Facing | Bengaluru,Onsite IT Sourcing Specialist | Client Facing | Bengaluru,ABC Consultants Pvt Ltd,Bengaluru(Marathahalli),2-4 yrs,it recruitment- screening- sourcing- hiring- hr- linkedin- mapping...,We have an urgent opening for Onsite Sourcing Specialist with a leading client of ABC Consultants .  ...,Not disclosed,2018-03-19,2,4,0,0
https://www.naukri.com/job-listings-Onsite-IT-Recruiter-Mumbai-Client-Facing-ABC-Consultants-Pvt-Ltd-Mumbai-Mindspace-4-to-6-years-290118003163?src=jobsearchDesk&sid=15217230657314&xp=7&px=16,Onsite IT Recruiter | Mumbai | Client Facing,Onsite IT Recruiter | Mumbai | Client Facing,ABC Consultants Pvt Ltd,Mumbai(Mindspace),4-6 yrs,it recruitment- screening- sourcing- hiring- hr- linkedin...,We have an urgent opening for  Onsite IT Recruiter  with a leading client of ABC Consultants . ...,Not disclosed,2018-03-15,4,6,0,0
https://www.naukri.com/job-listings-Urgent-Hiring-Position-Fresher-Data-Entry-IT-Support-for-MNC-Neemran-Pasona-India-private-Limited-Neemrana-0-to-2-years-280218003217?src=jobsearchDesk&sid=15217230657314&xp=8&px=16,Urgent Hiring Position Fresher Data Entry IT Support for MNC - Neemran,Urgent Hiring Position Fresher Data Entry IT Support for MNC - Neemran,Pasona India private Limited,Neemrana,0-2 yrs,it support- data entry- sap- application support- it fresher- it trainee..., Location - Neemrana - near Rewari     100km from Gurgaon ...,200000 - 250000 P.A.,2018-03-19,0,2,200000,250000
https://www.naukri.com/job-listings-IT-Security-Manager-role-with-MNC-in-Gurgaon-People-First-Consultants-Pvt-Ltd-Gurgaon-7-to-12-years-251017000729?src=jobsearchDesk&sid=15217230657314&xp=9&px=16,IT Security Manager role with MNC in Gurgaon,IT Security Manager role with MNC in Gurgaon,People First Consultants Pvt Ltd,Gurgaon,7-12 yrs,Security Management- IT Security- information security- network security..., Job specification: 1. We are looking out for candidates who are having 8+ years of ...,Not disclosed,2018-03-15,7,12,0,0
https://www.naukri.com/job-listings-Manager-IT-Security-Operations-soc-Opportunity-in-Gurgaon-People-First-Consultants-Pvt-Ltd-Gurgaon-10-to-18-years-241017004596?src=jobsearchDesk&sid=15217230657314&xp=10&px=16,Manager - IT Security Operations(soc) Opportunity in Gurgaon,Manager - IT Security Operations(soc) Opportunity in Gurgaon,People First Consultants Pvt Ltd,Gurgaon,10-18 yrs,cissp- it security- intrusion detection- security management...,Hi-  Currently we are looking for  IT Service Delivery Manager  Security Operations  for ...,Not disclosed,2018-03-15,10,18,0,0
