link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Cofounder-cto-Technology-Function-IIT-Websites-co-in-Mumbai-9-to-14-years-200318900812?src=jobsearchDesk&sid=15217233626046&xp=29&px=59,Cofounder/cto - Technology Function - IIT,Cofounder/cto - Technology Function - IIT,Websites.co.in,Mumbai,9-14 yrs,Android- IOS- Design Development- IT Infrastructure- Open Source...,We're looking for a Cofounder / CTO for our startup - Websites.co.in    We're looking for ...,Not disclosed,2018-03-21,9,14,0,0
https://www.naukri.com/job-listings-Cofounder-CTO-Technology-Function-IIT-Websites-co-in-Mumbai-3-to-8-years-200318900806?src=jobsearchDesk&sid=15217233626046&xp=30&px=59,Cofounder/ CTO - Technology Function - IIT,Cofounder/ CTO - Technology Function - IIT,Websites.co.in,Mumbai,3-8 yrs,Android- IOS- Design Development- IT Infrastructure- Open Source...,We're looking for a Cofounder / CTO for our startup - Websites.co.in    We're looking for ...,Not disclosed,2018-03-21,3,8,0,0
https://www.naukri.com/job-listings-Procurement-Category-Associate-Manager-ITT-Accenture-Bengaluru-7-to-12-years-180118900786?src=jobsearchDesk&sid=15217233626046&xp=31&px=59,Procurement Category Associate Manager - ITT,Procurement Category Associate Manager - ITT,Accenture,Bengaluru,7-12 yrs,Telecom- Service- Order management- Procurement- Business process- Business..., ,Not disclosed,2018-03-21,7,12,0,0
https://www.naukri.com/job-listings-Sr-HR-Executive-Aron-Universal-Ltd-Bengaluru-Jigani-5-to-8-years-180118005289?src=jobsearchDesk&sid=15217233626046&xp=32&px=59,Sr. HR Executive,Sr. HR Executive,Aron Universal Ltd.,Bengaluru(Jigani),5-8 yrs,non it recruitment- HR Recruiter- Recruitment Executive- Non IT Recruiter..., ,Not disclosed,2018-03-22,5,8,0,0
https://www.naukri.com/job-listings-Resources-cnr-Research-Analyst-Accenture-Bengaluru-1-to-3-years-170118900623?src=jobsearchDesk&sid=15217233626046&xp=33&px=59,Resources (cnr) Research Analyst,Resources (cnr) Research Analyst,Accenture,Bengaluru,1-3 yrs,Market research- Business research- Consulting- Secondary research- Mining-...,   Human Resources are at the heart of Accenture- unleashing the power of talent in everything we do. ...,Not disclosed,2018-03-21,1,3,0,0
https://www.naukri.com/job-listings-Looking-for-SAP-Mdg-functional-Resources-Yash-Technologies-Pvt-ltd-Hyderabad-4-to-8-years-150318001658?src=jobsearchDesk&sid=15217233626046&xp=34&px=59,Looking for SAP Mdg(functional) Resources,Looking for SAP Mdg(functional) Resources,Yash Technologies Pvt ltd,Hyderabad,4-8 yrs,sap mdg- it consulting- sap eim- erp eim- SAP, ,Not disclosed,2018-03-22,4,8,0,0
https://www.naukri.com/job-listings-Urgent-Opening-for-AWS-Sysops-Administrator-Associate-Based-Gurgaon-prospecta-soft-pvt-ltd-Gurgaon-5-to-10-years-140318004920?src=jobsearchDesk&sid=15217233626046&xp=35&px=59,Urgent Opening for AWS Sysops Administrator Associate Based @ Gurgaon,Urgent Opening for AWS Sysops Administrator Associate Based @ Gurgaon,prospecta soft pvt. ltd.,Gurgaon,5-10 yrs,Apache- AWS- IT Infrastructure- Linux- Cloud- Security- TCP- IP...,Position - AWS SysOps Administrator Associate Location - Gurgaon Basic Responsibility ...,400000 - 900000 P.A.,2018-03-21,5,10,400000,900000
https://www.naukri.com/job-listings-Hiring-for-Assistant-Manager-Sales-Arya-Omnitalk-Wireless-Solutions-Pvt-Ltd-Mumbai-Navi-Mumbai-2-to-7-years-080617005751?src=jobsearchDesk&sid=15217233626046&xp=36&px=59,Hiring for Assistant Manager - Sales ,Hiring for Assistant Manager - Sales ,Arya Omnitalk Wireless Solutions Pvt. Ltd,Mumbai- Navi Mumbai,2-7 yrs,direct sales- corporate sales- it sales- b2b sales- sme sales...,  Major Responsibilities:      To promote Sales of Walky Talky service- Video ...,250000 - 550000 P.A. Fixed conveyance + Lucrative i...,2018-03-21,2,7,250000,550000
https://www.naukri.com/job-listings-US-Business-Development-Inside-Sales-Lead-Generation-Siri-InfoSolutions-Inc-Noida-Sector-63-Noida-2-to-6-years-060318004608?src=jobsearchDesk&sid=15217233626046&xp=37&px=59,US Business Development / Inside Sales / Lead Generation,US Business Development / Inside Sales / Lead Generation,Siri InfoSolutions Inc.,Noida(Sector-63 Noida),2-6 yrs,Business Development- IT Sales- Sales Lead Generation- Cold Calling...,Requirements:   A thorough expert in the new lead generation model- US cold calling  Must have ...,Not disclosed,2018-03-21,2,6,0,0
https://www.naukri.com/job-listings-Walk-In-for-Manager-operations-back-Office-Global-Advertisement-Services-Private-Limited-Pune-7-to-10-years-011217006062?src=jobsearchDesk&sid=15217233626046&xp=38&px=59,Walk In for Manager-operations (back Office),Walk In for Manager-operations (back Office),Global Advertisement Services Private Limited,Pune,7-10 yrs,photoshop- indesign- illustrator- pagination- ms office- project management..., Roles & Responsibilities :      To manage operations for multiple projects ...,Not disclosed,2018-03-21,7,10,0,0
