link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Mean-Stack-Developer-IT-Company-Gurgaon-Shanti-Consultants-Gurgaon-Udyog-Vihar-1-to-4-years-300118000782?src=jobsearchDesk&sid=15217234072346&xp=1&px=64,Mean Stack Developer- IT Company- Gurgaon,Mean Stack Developer- IT Company- Gurgaon,Shanti Consultants,Gurgaon(Udyog Vihar),1-4 yrs,mean stack- software development- gurgaon jobs- angular js- mongo db...,Working on Mongo DB-Express-Angular Js- Node.Js- Backbone.Js    Will be responsible ...,600000 - 800000 P.A.,2018-01-31,1,4,600000,800000
https://www.naukri.com/job-listings-Enovia-3dx-solution-Architect-presales-Pune-Into-Top-IT-Sector-HR-India-Solutions-Pune-10-to-20-years-261217005896?src=jobsearchDesk&sid=15217234072346&xp=2&px=64,Enovia/3dx-solution Architect-presales | Pune | Into Top IT Sector,Enovia/3dx-solution Architect-presales | Pune | Into Top IT Sector,HR India Solutions,Pune,10-20 yrs,J2Ee- Java- MQL- Oracle- Matrixone- Software Development Life Cycle..., Job Description for Solution Architect Role:    Mandatory Requirements : ...,1300000 - 2300000 P.A.,2018-02-15,10,20,1300000,2300000
https://www.naukri.com/job-listings-Business-Analyst-us-Healthcare-IT-Company-Male-Jaipur-Shanti-Consultants-Jaipur-11-to-14-years-150118000660?src=jobsearchDesk&sid=15217234072346&xp=3&px=64,Business Analyst(us Healthcare) - IT Company - Male - Jaipur,Business Analyst(us Healthcare) - IT Company - Male - Jaipur,Shanti Consultants,Jaipur,11-14 yrs,Business Analysis- Gap Analysis- Project Management- US Healthcare..., ,1000000 - 2000000 P.A.,2018-02-13,11,14,1000000,2000000
https://www.naukri.com/job-listings-US-IT-Recruiter-Lorven-Technologies-Private-Limited-Chennai-1-to-5-years-290917004913?src=jobsearchDesk&sid=15217234072346&xp=4&px=64,US IT Recruiter,US IT Recruiter,Lorven Technologies Private Limited,Chennai,1-5 yrs,us it recruitment- us it recruiter- us recruiter- us staffing..., ,Not disclosed,2018-03-20,1,5,0,0
https://www.naukri.com/job-listings-Android-Developer-IT-Company-Ahmedabad-Prime-Placement-and-Manpower-Services-Ahmedabad-Gujarat-India-2-to-6-years-281117007655?src=jobsearchDesk&sid=15217234072346&xp=5&px=64,Android Developer - IT Company - Ahmedabad,Android Developer - IT Company - Ahmedabad,Prime Placement and Manpower Services,Ahmedabad- Gujarat- India,2-6 yrs,prime- android developer- core java- android sdk- mobile development..., ,200000 - 350000 P.A. Negotiable - Depending Upon th...,2018-03-14,2,6,200000,350000
https://www.naukri.com/job-listings-Web-Designer-IT-Company-Ahmedabad-Prime-Placement-and-Manpower-Services-Ahmedabad-Gujarat-India-1-to-4-years-281117007394?src=jobsearchDesk&sid=15217234072346&xp=6&px=64,Web Designer - IT Company - Ahmedabad,Web Designer - IT Company - Ahmedabad,Prime Placement and Manpower Services,Ahmedabad- Gujarat- India,1-4 yrs,prime- web designer- website designer- html- css- bootstrap- jquery..., ,100000 - 300000 P.A. Negotiable - Depending Upon th...,2018-03-08,1,4,100000,300000
https://www.naukri.com/job-listings-IT-Manager-Krishna-Consultants-Nagpur-8-to-12-years-270218002967?src=jobsearchDesk&sid=15217234072346&xp=7&px=64,IT Manager,IT Manager,Krishna Consultants,Nagpur,8-12 yrs,IT Strategy- Consulting- IT Management- it delivery, ,800000 - 1000000 P.A.,2018-03-13,8,12,800000,1000000
https://www.naukri.com/job-listings-AI-Machine-Learning-Developer-IT-Company-Ahmedabad-Prime-Placement-and-Manpower-Services-Ahmedabad-Gujarat-India-2-to-7-years-270118003106?src=jobsearchDesk&sid=15217234072346&xp=8&px=64,AI / Machine Learning Developer - IT Company - Ahmedabad,AI / Machine Learning Developer - IT Company - Ahmedabad,Prime Placement and Manpower Services,Ahmedabad- Gujarat- India,2-7 yrs,prime- ai- machine learning- architect- system technologies..., ,300000 - 800000 P.A. Negotiable - Depending Upon th...,2018-03-07,2,7,300000,800000
https://www.naukri.com/job-listings-AI-Machine-Learning-Sr-Developer-Architect-IT-Company-Ahmedabad-Prime-Placement-and-Manpower-Services-Ahmedabad-Gujarat-India-4-to-9-years-270118003086?src=jobsearchDesk&sid=15217234072346&xp=9&px=64,AI / Machine Learning Sr. Developer / Architect- IT Company- Ahmedabad,AI / Machine Learning Sr. Developer / Architect- IT Company- Ahmedabad,Prime Placement and Manpower Services,Ahmedabad- Gujarat- India,4-9 yrs,prime- ai- machine learning- senior developer- architect..., ,800000 - 1500000 P.A. Negotiable - Depending Upon t...,2018-03-07,4,9,800000,1500000
https://www.naukri.com/job-listings-IT-Recruiter-IT-Staffing-Recruitment-Executive-Freshers-Hiring-Best-Infosystems-Ltd-Delhi-NCR-0-to-1-years-261017005561?src=jobsearchDesk&sid=15217234072346&xp=10&px=64,IT Recruiter IT Staffing Recruitment Executive Freshers Hiring,IT Recruiter IT Staffing Recruitment Executive Freshers Hiring,Best Infosystems Ltd.,Delhi NCR,0-1 yrs,it recruitment- it staffing- sourcing profiles- fresher- hr recruiter..., ,125000 - 150000 P.A. Maximum 10000 K FOR Freshers,2018-03-09,0,1,125000,150000
https://www.naukri.com/job-listings-Sr-it-Recruiter-it-consulting-Immediate-Hiring-1-3-Year-noida-Reach-International-Corporate-Solutions-Noida-Sector-18-Noida-1-to-3-years-200218007776?src=jobsearchDesk&sid=15217234072346&xp=11&px=64,Sr.it Recruiter|it |consulting| Immediate Hiring|1-3 Year,Sr.it Recruiter|it |consulting| Immediate Hiring|1-3 Year,Reach International Corporate Solutions,Noida(Sector-18 Noida),1-3 yrs,Recruitment- Hiring- IT Consulting- Social Media- Selection- human resource..., ,50000 - 200000 P.A. negociable,2018-03-20,1,3,50000,200000
https://www.naukri.com/job-listings-Talent-Acquisition-hr-IT-Recruiter-PHI-Consulting-Services-Pune-Baner-0-to-1-years-190218001793?src=jobsearchDesk&sid=15217234072346&xp=12&px=64,Talent Acquisition/hr IT Recruiter,Talent Acquisition/hr IT Recruiter,PHI Consulting Services,Pune(Baner),0-1 yrs,recruitment- screening- sourcing- talent acquisition- interviewing..., ,Not disclosed,2018-03-07,0,1,0,0
https://www.naukri.com/job-listings-for-Hr-Executive-Non-IT-in-HR-Consulting-firm-PMS-Consulting-Delhi-NCR-Connaught-Place-1-to-4-years-140318007032?src=jobsearchDesk&sid=15217234072346&xp=13&px=64,Job for Hr Executive Non IT in HR Consulting firm,Job for Hr Executive Non IT in HR Consulting firm,PMS Consulting,Delhi NCR(Connaught Place),1-4 yrs,HR Consulting- Sourcing Profiles- Senior Level- Linkedin- MIS Preparation..., ,200000 - 300000 P.A.,2018-03-14,1,4,200000,300000
