Brand, Product_name, Price, Shipping 
CybertronPC,CLX SET Intel Core i7 8700 3.20 GHz 6-Core 16GB DDR4 120GB SSD 1TB NVIDIA GeForce GTX 1060 3GB WiFi Windows 10,$1279.99,$9.99 Shipping
ABS,ABS Battlebox Essential Vortex Leo NVIDIA GeForce GTX 1060 6 GB Intel i7-7700K (4.20 GHz) 32 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI124,$1329.99,$11.99 Shipping
DELL,DELL Desktop Computer OptiPlex 3050 (1XV9V) Intel Core i3 7th Gen 7100T (3.40 GHz) 4 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$445.10,$2.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Xtreme S752 Intel Core i7 7th Gen 7700K (4.20 GHz) 8 GB DDR4 1 TB HDD 240 GB SSD Windows 10 Home 64-Bit,$1449.99,$9.99 Shipping
HP,HP Desktop Computer ProDesk 600 G3 (1FY53UT#ABA) Intel Core i5 7th Gen 7500 (3.4 GHz) 8 GB DDR4 1 TB HDD Windows 10 Pro 64-Bit,$721.99,$9.99 Shipping
ABS,ABS M-Box Intel i3-7100 (3.90 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce GTX 1050 2 GB Windows 10 Home 64-Bit Gaming Desktop ALI159,$594.99,$4.99 Shipping
DELL,DELL Desktop Computer OptiPlex 5050 (H60K4) Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$699.99,$4.99 Shipping
DELL,DELL Desktop PC OptiPlex 3050 (JG20P) Intel Core i5 7th Gen 7500T (2.70 GHz) 4 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$549.99,$7.99 Shipping
ABS,ABS Battlebox Essential Bearcat Barrage NVIDIA GeForce GTX 1080 Intel i7-7700K (4.20 GHz) 16 GB DDR4 240 GB SSD 2 TB HDD Windows 10 Home 64-Bit ALI120,$1529.99,$9.99 Shipping
DELL,Dell OptiPlex 3050 Desktop Computer CDXGP- Intel Core i5 (7th Gen) i5-7500 3.40 GHz - 4 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Pro 64-Bit (English / French / Spanish) - Small Form Factor - Black,$591.99,Free Shipping
ABS,ABS Prime-1400 Gaming Desktop Ryzen 5 1400 (3.20 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce GTX 1050 Ti 4 GB Windows 10 Home 64-Bit ALA066,$699.99,$9.99 Shipping
iBUYPOWER,iBUYPOWER Desktop Computer NE740OPi Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$699.99,$4.99 Shipping
HP,HP EliteDesk 800 G3 Desktop Computer - Intel Core i5 (7th Gen) i5-7500 3.40 GHz - 8 GB DDR4 SDRAM - 1 TB HDD - Windows 10 Pro 64-bit (English) - Small,$772.99,$4.99 Shipping
iBUYPOWER,iBUYPOWER Desktop Computer NE740RAi Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 2 TB HDD Windows 10 Home 64-Bit,$899.99,$9.99 Shipping
ABS,ABS GT1 Intel Core i7-7700 (3.6 GHz) 8 GB DDR4 240 GB SSD NVIDIA GeForce GTX 1060 3 GB Windows 10 Home 64-Bit Gaming Desktop ALI168,$959.99,$9.99 Shipping
ABS,ABS Battlebox Essential Meteor NVIDIA GeForce GTX 1060 6 GB Intel Core i7-7700K (4.20 GHz) Liquid Cooling (120 mm) 16 GB DDR4 120 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI173,$1299.99,$4.99 Shipping
ABS,ABS Prime-7700 NVIDIA GeForce GTX 1080 Intel i7-7700 (3.60 GHz) 16 GB DDR4 250 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI149,$1549.99,$9.99 Shipping
ABS,ABS GT1 Radeon RX 570 AMD RYZEN 5 1600 (3.20 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit ALA076,$899.99,$4.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Xtreme S111W Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$979.99,$4.99 Shipping
ASUS,ASUS Desktop Computer CHROMEBOX2-G096U Celeron 3215U (1.70 GHz) 4 GB DDR3L 16 GB M.2 SSD Google Chrome OS,$209.99,$4.99 Shipping
ABS,ABS Prime-1200 Gaming Desktop Ryzen 3 1200 (3.10 GHz) 8 GB DDR4 1 TB HDD NVIDIA GeForce GTX 1050 Ti 4 GB Windows 10 Home 64-Bit ALA067,$709.99,$7.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Master 2021 Ryzen 7 1700X (3.40 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$999.99,$9.99 Shipping
ABS,ABS Prime-1600 Gaming Desktop Ryzen 5 1600 (3.2 GHz) 16 GB DDR4 240 GB SSD 1 TB HDD NVIDIA GeForce GTX 1050 Ti 4 GB Windows 10 Home 64-Bit ALA068,$889.99,$9.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Xtreme S750 Intel Core i7 7th Gen 7700 (3.60 GHz) 8 GB DDR4 1 TB HDD 16 GB Optane Memory Windows 10 Home 64-Bit,$1024.99,$4.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Master 2009 Ryzen 5 1400 (3.20 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$749.99,$9.99 Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Xtreme C287 Intel Core i7 8th Gen 8700K (3.70 GHz) 16 GB DDR4 1 TB HDD 240 GB SSD Windows 10 Home 64-Bit,$1599.99,$14.99 Shipping
DELL,DELL Desktop Computer OptiPlex 3050 (0F42P) Intel Core i3 7th Gen 7100 (3.90 GHz) 4 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$419.99,Free Shipping
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Ultra 2229 AMD FX-Series FX-6300 (3.50 GHz) 4 GB DDR3 1 TB HDD AMD Radeon R7 240 2 GB Windows 10 Home 64-Bit,$549.99,$4.99 Shipping
DELL,DELL Desktop Computer OptiPlex 3050 (6Y9TM) Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$574.99,$4.99 Shipping
DELL,DELL Desktop Computer OptiPlex 3050 Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 1 TB HDD Windows 10 Pro 64-Bit,$618.03,$4.99 Shipping
Corsair,CORSAIR ONE PRO Compact Gaming PC CS-9000011 Intel Core i7 7th Gen 7700K (4.20 GHz) 16 GB DDR4 2 TB HDD 480 GB M.2 SSD Windows 10 Home 64-Bit,$2199.99,Free Shipping
Corsair,CORSAIR ONE PRO Compact Gaming PC CS-9000009 Intel Core i7 7th Gen 7700K (4.20 GHz) 16 GB DDR4 2 TB HDD 480 GB M.2 SSD Windows 10 Home 64-Bit,$2599.99,Free Shipping
Intel,Intel NUC Mini PC NUC7i7BNHXG Intel Core i7 7th Gen 7567U (3.50 GHz) 8 GB DDR4 2 TB HDD 32 GB Optane Memory Windows 10 Home 64-Bit,$719.00,$4.99 Shipping
iBUYPOWER,iBUYPOWER Desktop Computer NE8210A Ryzen 3 1200 (3.10 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$679.99,$9.99 Shipping
ASUS,ASUS Desktop PC VivoMini VC66-B003Z Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$518.09,Free Shipping
Lenovo,Lenovo Desktop PC 510A-15IKL 90GV0004US Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$570.84,$4.99 Shipping
Intel,Intel Compute Stick BOXSTK1AW32SC Ultra-slim PC Intel Atom X5-Z8300 (1.44 GHz) 2 GB DDR3L 32 GB eMMC Intel HD Graphics Windows 10 Home 32-Bit,$122.47,$9.99 Shipping
Acer America,Acer Desktop Computer Aspire TC-780-UR1C Intel Core i5 7th Gen 7400 (3.00 GHz) 8 GB DDR4 512 GB SSD Windows 10 Home 64-Bit,$649.99,$4.99 Shipping
ASUS,ASUS Desktop PC VivoMini VC66-B018Z Intel Core i3 7th Gen 7100 (3.90 GHz) 4 GB DDR4 500 GB HDD Windows 10 Pro 64-Bit,$469.99,Free Shipping
ASUS,ASUS Desktop Computer VivoMini VC68V-G030Z Intel Core i5 7th Gen 7500 (3.40 GHz) 8 GB DDR4 256 GB SSD Windows 10 Pro 64-Bit,$769.00,$4.99 Shipping
